,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artists names,popularity,error,ranking
550,0.453,0.441,0,-6.275,1,0.0435,0.521,0.000135,0.106,0.184,84.672,audio_features,62NVyyEBiRxGae3SeB97nl,spotify:track:62NVyyEBiRxGae3SeB97nl,https://api.spotify.com/v1/tracks/62NVyyEBiRxGae3SeB97nl,https://api.spotify.com/v1/audio-analysis/62NVyyEBiRxGae3SeB97nl,172724,4,Stay With Me,Sam Smith,0,,53
551,0.407,0.725,5,-5.346,0,0.188,0.0141,2.46e-06,0.306,0.247,196.093,audio_features,1sNSG13fsK6KPKKNIQXXrh,spotify:track:1sNSG13fsK6KPKKNIQXXrh,https://api.spotify.com/v1/tracks/1sNSG13fsK6KPKKNIQXXrh,https://api.spotify.com/v1/audio-analysis/1sNSG13fsK6KPKKNIQXXrh,247267,4,You Know You Like It,"DJ Snake, AlunaGeorge",0,,54
552,0.624,0.953,4,-2.602,0,0.104,0.113,0.000128,0.657,0.729,149.992,audio_features,34Jeq8ktRzyOW1uw40InVy,spotify:track:34Jeq8ktRzyOW1uw40InVy,https://api.spotify.com/v1/tracks/34Jeq8ktRzyOW1uw40InVy,https://api.spotify.com/v1/audio-analysis/34Jeq8ktRzyOW1uw40InVy,211573,4,Uma Thurman,Fall Out Boy,0,,55
553,0.747,0.705,9,-5.137,0,0.126,0.0128,0.0,0.126,0.56,136.024,audio_features,02M6vucOvmRfMxTXDUwRXu,spotify:track:02M6vucOvmRfMxTXDUwRXu,https://api.spotify.com/v1/tracks/02M6vucOvmRfMxTXDUwRXu,https://api.spotify.com/v1/audio-analysis/02M6vucOvmRfMxTXDUwRXu,213507,4,7/11,Beyoncé,72,,56
554,0.619,0.786,7,-4.938,0,0.0397,0.049,0.0,0.142,0.628,83.048,audio_features,7pJgjBf82BrUQ3z7HdQvW1,spotify:track:7pJgjBf82BrUQ3z7HdQvW1,https://api.spotify.com/v1/tracks/7pJgjBf82BrUQ3z7HdQvW1,https://api.spotify.com/v1/audio-analysis/7pJgjBf82BrUQ3z7HdQvW1,227360,4,The Heart Wants What It Wants,Selena Gomez,0,,57
555,0.506,0.219,0,-10.18,1,0.0317,0.843,0.0,0.112,0.362,173.799,audio_features,7hKpnp7A7bjiZEyywa5Qn4,spotify:track:7hKpnp7A7bjiZEyywa5Qn4,https://api.spotify.com/v1/tracks/7hKpnp7A7bjiZEyywa5Qn4,https://api.spotify.com/v1/audio-analysis/7hKpnp7A7bjiZEyywa5Qn4,193320,3,Girl Crush,Little Big Town,0,,58
556,0.733,0.408,7,-7.834,0,0.0388,0.679,3.92e-05,0.11,0.291,94.947,audio_features,4NYwy0R3NdvORX2B6OZXBT,spotify:track:4NYwy0R3NdvORX2B6OZXBT,https://api.spotify.com/v1/tracks/4NYwy0R3NdvORX2B6OZXBT,https://api.spotify.com/v1/audio-analysis/4NYwy0R3NdvORX2B6OZXBT,197854,4,Slow Motion,Trey Songz,73,,59
557,0.723,0.711,0,-5.576,0,0.0378,0.0997,0.0,0.0528,0.606,138.098,audio_features,70OTIpw8x8UXUsuCHW9i1i,spotify:track:70OTIpw8x8UXUsuCHW9i1i,https://api.spotify.com/v1/tracks/70OTIpw8x8UXUsuCHW9i1i,https://api.spotify.com/v1/audio-analysis/70OTIpw8x8UXUsuCHW9i1i,192107,4,Drag Me Down,One Direction,25,,60
558,0.896,0.674,10,-6.89,0,0.0499,0.0644,1.83e-05,0.12,0.516,105.096,audio_features,1H6FVVPoDB5R9SOkPLW2zz,spotify:track:1H6FVVPoDB5R9SOkPLW2zz,https://api.spotify.com/v1/tracks/1H6FVVPoDB5R9SOkPLW2zz,https://api.spotify.com/v1/audio-analysis/1H6FVVPoDB5R9SOkPLW2zz,219227,4,Truffle Butter,"Nicki Minaj, Drake, Lil Wayne",0,,61
559,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026,audio_features,2OlWBmSjf1aUPGLNf0UI5A,spotify:track:2OlWBmSjf1aUPGLNf0UI5A,https://api.spotify.com/v1/tracks/2OlWBmSjf1aUPGLNf0UI5A,https://api.spotify.com/v1/audio-analysis/2OlWBmSjf1aUPGLNf0UI5A,197267,4,One Last Time,Ariana Grande,0,,62
560,0.589,0.603,0,-5.892,0,0.042,0.0156,0.0,0.0731,0.129,75.995,audio_features,1IefGNwpvzS60DzVoAjVDh,spotify:track:1IefGNwpvzS60DzVoAjVDh,https://api.spotify.com/v1/tracks/1IefGNwpvzS60DzVoAjVDh,https://api.spotify.com/v1/audio-analysis/1IefGNwpvzS60DzVoAjVDh,203107,4,Chains,Nick Jonas,0,,63
